RestaurantID,RestaurantName,City,State,OrderID,OrderDate,OrderType,PaymentMethod,CustomerID,Gender,AgeGroup,ItemID,ItemName,Category,Quantity,UnitPrice,Discount,TotalPrice,NetPrice,CostPrice,Profit
R104,McDonald's Chandigarh,Chandigarh,Chandigarh,O271722,2024-10-14,Takeaway,App,C16926,Male,46–60,I06,Fries - Large,Fries,2,80,5,160,155,35,85
R108,McDonald's Noida,Noida,Uttar Pradesh,O241700,2024-06-11,Delivery,Cash,C10623,Female,26–35,I18,Chicken Nuggets,Sides,2,120,15,240,225,70,85
R108,McDonald's Noida,Noida,Uttar Pradesh,O282215,2024-08-03,Dine-in,App,C19644,Female,36–45,I02,Chicken Maharaja Mac,Burger,2,190,15,380,365,115,135
R110,McDonald's Jaipur,Jaipur,Rajasthan,O269210,2025-01-22,Delivery,Cash,C16574,Female,Under 18,I06,Fries - Large,Fries,2,80,15,160,145,35,75
R109,McDonald's Shimla,Shimla,Himachal Pradesh,O256256,2025-01-30,Dine-in,Card,C10876,Female,60+,I18,Chicken Nuggets,Sides,2,120,10,240,230,70,90
R105,McDonald's Chandigarh,Chandigarh,Chandigarh,O257323,2024-10-25,Delivery,Cash,C10404,Male,26–35,I10,McFlurry,Dessert,1,90,5,90,85,60,25
R101,McDonald's Lucknow,Lucknow,Uttar Pradesh,O281534,2024-07-07,Dine-in,Cash,C18259,Female,36–45,I05,Fries - Regular,Fries,3,50,15,150,135,22,69
R106,McDonald's Amritsar,Amritsar,Punjab,O240433,2024-12-07,Delivery,Cash,C13750,Female,18–25,I05,Fries - Regular,Fries,1,50,0,50,50,22,28
R100,McDonald's Shimla,Shimla,Himachal Pradesh,O279133,2024-07-16,Delivery,Cash,C12557,Female,26–35,I02,Chicken Maharaja Mac,Burger,1,190,5,190,185,115,70
R107,McDonald's Shimla,Shimla,Himachal Pradesh,O243910,2025-02-24,Delivery,App,C15002,Female,46–60,I04,McChicken,Burger,3,130,5,390,385,75,160
R101,McDonald's Delhi,Delhi,Delhi,O276170,2024-08-23,Dine-in,App,C16819,Male,36–45,I09,Cold Coffee,Beverage,2,90,0,180,180,50,80
R102,McDonald's Delhi,Delhi,Delhi,O284943,2024-09-14,Dine-in,Cash,C19446,Male,18–25,I11,Soft Serve Cone,Dessert,3,30,5,90,85,10,55
R106,McDonald's Jaipur,Jaipur,Rajasthan,O221760,2024-06-10,Delivery,App,C18332,Male,18–25,I07,Coca-Cola,Beverage,1,40,20,40,20,20,0
R104,McDonald's Jaipur,Jaipur,Rajasthan,O212257,2024-05-11,Takeaway,Card,C11599,Female,18–25,I09,Cold Coffee,Beverage,1,90,15,90,75,50,25
R105,McDonald's Noida,Noida,Uttar Pradesh,O262979,2024-09-18,Delivery,Cash,C15523,Female,Under 18,I15,Peri Peri Fries,Fries,1,95,15,95,80,45,35
R110,McDonald's Dehradun,Dehradun,Uttarakhand,O232361,2024-07-21,Delivery,Cash,C16441,Male,Under 18,I13,Masala Wedges,Sides,1,65,5,65,60,35,25
R109,McDonald's Jammu,Jammu,Jammu and Kashmir,O229900,2024-12-30,Dine-in,Cash,C14764,Female,Under 18,I08,Sprite,Beverage,3,40,20,120,100,20,40
R102,McDonald's Jaipur,Jaipur,Rajasthan,O237213,2024-10-29,Dine-in,Cash,C13158,Male,26–35,I06,Fries - Large,Fries,1,80,15,80,65,35,30
R107,McDonald's Delhi,Delhi,Delhi,O255443,2024-11-08,Takeaway,App,C17820,Male,26–35,I08,Sprite,Beverage,3,40,15,120,105,20,45
R109,McDonald's Gurugram,Gurugram,Haryana,O295470,2024-10-11,Dine-in,Card,C17025,Female,60+,I11,Soft Serve Cone,Dessert,1,30,20,30,10,10,0
R103,McDonald's Jammu,Jammu,Jammu and Kashmir,O250327,2025-01-15,Delivery,Cash,C16911,Male,18–25,I11,Soft Serve Cone,Dessert,1,30,10,30,20,10,10
R106,McDonald's Delhi,Delhi,Delhi,O252968,2025-02-14,Takeaway,Cash,C18682,Male,60+,I07,Coca-Cola,Beverage,2,40,15,80,65,20,25
R105,McDonald's Gurugram,Gurugram,Haryana,O227007,2025-01-03,Takeaway,Card,C12482,Female,26–35,I18,Chicken Nuggets,Sides,2,120,5,240,235,70,95
R103,McDonald's Jaipur,Jaipur,Rajasthan,O201407,2024-10-22,Takeaway,Cash,C12124,Female,36–45,I03,McAloo Tikki,Burger,1,55,10,55,45,30,15
R105,McDonald's Dehradun,Dehradun,Uttarakhand,O209427,2024-10-28,Dine-in,Card,C19019,Male,36–45,I01,Veg Maharaja Mac,Burger,3,170,5,510,505,100,205
